onset,duration,event,trial
0,10,dummy,NaN
10,22,training,NaN
32,12,view,1
44,6,baseline1,1
50,4,percentsign,1
54,12,regulation,1
66,6,baseline2,1
72,4,feedback,1
76,12,view,2
88,6,baseline1,2
94,4,percentsign,2
98,12,regulation,2
110,6,baseline2,2
116,4,feedback,2
120,12,view,3
132,6,baseline1,3
138,4,percentsign,3
142,12,regulation,3
154,6,baseline2,3
160,4,feedback,3
164,12,view,4
176,6,baseline1,4
182,4,percentsign,4
186,12,regulation,4
198,6,baseline2,4
204,4,feedback,4
208,12,view,5
220,6,baseline1,5
226,4,percentsign,5
230,12,regulation,5
242,6,baseline2,5
248,4,feedback,5
252,12,view,6
264,6,baseline1,6
270,4,percentsign,6
274,12,regulation,6
286,6,baseline2,6
292,4,feedback,6
296,12,view,7
308,6,baseline1,7
314,4,percentsign,7
318,12,regulation,7
330,6,baseline2,7
336,4,feedback,7
340,12,view,8
352,6,baseline1,8
358,4,percentsign,8
362,12,regulation,8
374,6,baseline2,8
380,4,feedback,8
384,12,view,9
396,6,baseline1,9
402,4,percentsign,9
406,12,regulation,9
418,6,baseline2,9
424,4,feedback,9
428,20,emotion,NaN
448,12,dummy,NaN
