onset,duration,event,trial
0,20,dummy,NaN
20,22,training,1
42,12,view,1
54,6,baseline1,1
60,4,percentsign,1
64,12,regulation,1
76,6,baseline2,1
82,4,feedback,1
86,12,view,2
98,6,baseline1,2
104,4,percentsign,2
108,12,regulation,2
120,6,baseline2,2
126,4,feedback,2
130,12,view,3
142,6,baseline1,3
148,4,percentsign,3
152,12,regulation,3
164,6,baseline2,3
170,4,feedback,3
174,12,view,4
186,6,baseline1,4
192,4,percentsign,4
196,12,regulation,4
208,6,baseline2,4
214,4,feedback,4
218,12,view,5
230,6,baseline1,5
236,4,percentsign,5
240,12,regulation,5
252,6,baseline2,5
258,4,feedback,5
262,12,view,6
274,6,baseline1,6
280,4,percentsign,6
284,12,regulation,6
296,6,baseline2,6
302,4,feedback,6
306,12,view,7
318,6,baseline1,7
324,4,percentsign,7
328,12,regulation,7
340,6,baseline2,7
346,4,feedback,7
350,12,view,8
362,6,baseline1,8
368,4,percentsign,8
372,12,regulation,8
384,6,baseline2,8
390,4,feedback,8
394,12,view,9
406,6,baseline1,9
412,4,percentsign,9
416,12,regulation,9
428,6,baseline2,9
434,4,feedback,9
438,20,emotion,9
458,2,dummy,NaN
